Page number, Time taken
3, 1.981
4, 2.045
1, 2.084
5, 2.126
2, 2.161
6, 2.924
7, 2.986
8, 3.054
9, 3.088
10, 3.155
11, 3.846
12, 3.943
13, 4.029
14, 4.074
15, 4.198
16, 4.747
18, 4.957
17, 5.009
19, 5.103
20, 5.204
21, 5.737
22, 6.007
23, 6.042
24, 6.167
25, 6.27
26, 6.705
27, 7.066
28, 7.155
29, 7.24
30, 7.372
31, 7.646
32, 8.098
33, 8.141
34, 8.302
35, 8.473
36, 8.647
38, 9.123
37, 9.161
39, 9.346
40, 9.598
41, 9.671
42, 10.212
43, 10.247
44, 10.454
46, 10.702
45, 10.735
47, 11.192
48, 11.274
49, 11.517
50, 11.732
51, 11.888
52, 12.207
53, 12.32
54, 12.6
55, 12.73
56, 13.007
57, 13.261
58, 13.377
59, 13.682
60, 13.745
61, 14.126
62, 14.27
63, 14.432
64, 14.756
65, 14.789
66, 15.208
67, 15.271
68, 15.435
70, 15.792
69, 15.841
72, 16.291
71, 16.324
73, 16.453
74, 16.799
75, 16.853
76, 17.272
77, 17.424
78, 17.473
79, 17.743
80, 17.911
81, 18.289
83, 18.4
82, 18.536
84, 18.715
85, 18.973
86, 19.273
87, 19.488
88, 19.655
89, 19.732
90, 20.031
91, 20.275
92, 20.469
94, 20.68
93, 20.739
95, 21.071
96, 21.269
97, 21.528
98, 21.692
99, 21.822
100, 22.163
101, 22.267
102, 22.578
103, 22.704
104, 22.953
105, 23.253
106, 23.297
107, 23.625
108, 23.678
109, 24.045
110, 24.319
111, 24.353
112, 24.626
113, 24.661
114, 25.134
116, 25.351
115, 25.393
117, 25.638
118, 25.674
119, 26.223
120, 26.351
121, 26.432
123, 26.634
122, 26.674
124, 28.955
127, 29.724
128, 29.84
126, 29.925
129, 29.962
125, 30.515
130, 30.757
131, 30.8
132, 30.922
133, 30.993
134, 31.438
136, 31.742
135, 31.792
137, 31.889
138, 31.977
139, 32.316
140, 32.747
141, 32.791
142, 32.855
143, 33.099
144, 33.199
145, 33.79
146, 33.823
147, 33.917
149, 34.201
148, 34.236
150, 34.797
151, 34.83
152, 34.958
153, 35.221
154, 35.339
155, 35.815
156, 35.848
157, 36.022
158, 36.227
159, 36.445
161, 36.846
160, 36.887
162, 37.111
163, 37.28
164, 37.573
165, 37.833
166, 37.918
167, 38.2
168, 38.274
169, 38.673
170, 38.835
171, 38.94
172, 39.251
173, 39.305
174, 39.827
175, 39.859
176, 39.991
178, 40.352
177, 40.39
180, 40.83
179, 40.898
181, 41.004
182, 41.382
183, 41.482
184, 41.815
185, 41.983
186, 42.016
187, 42.367
188, 42.524
189, 42.833
191, 43.043
190, 43.145
192, 43.408
193, 43.579
194, 43.809
195, 44.065
196, 44.246
197, 44.397
198, 44.662
199, 44.815
200, 45.097
